City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
180,Te Anau,-45.4167,167.7167,56.82,66,29,3.02,NZ,scattered clouds
181,Synya,65.3718,58.0387,26.33,96,98,7.34,RU,light snow
182,Dourbali,11.8091,15.8632,90.36,35,72,1.72,TD,broken clouds
183,Trelew,-43.249,-65.3051,61.29,69,1,23.26,AR,clear sky
184,Savannakhet,16.566,104.751,72.43,82,98,8.5,LA,overcast clouds
185,Qingyuan,23.7,113.0333,60.78,89,100,4.99,CN,overcast clouds
186,Longyearbyen,78.2186,15.6401,21.04,86,75,13.8,SJ,broken clouds
187,Ratnagiri,16.9833,73.3,79.95,72,6,0.16,IN,clear sky
188,Basco,20.4487,121.9702,76.59,71,94,17.38,PH,overcast clouds
189,Seidu,9.0167,-10.6,75.27,74,100,6.31,SL,overcast clouds
190,Tchibanga,-2.85,11.0333,72.61,99,100,1.45,GA,overcast clouds
191,Tikapur,28.5,81.1333,75.42,19,35,6.71,NP,scattered clouds
192,Ust-Ishim,57.6935,71.1665,29.7,88,61,3.56,RU,broken clouds
193,Paengaroa,-37.8167,176.4167,62.89,68,100,1.99,NZ,overcast clouds
194,Bestobe,52.4994,73.0975,50.2,55,100,10.89,KZ,overcast clouds
195,Berdigestyakh,62.0989,126.6992,27.46,76,100,12.68,RU,overcast clouds
196,Luoyang,34.6836,112.4536,54.41,59,56,7.72,CN,broken clouds
197,Zhaozhou,45.6833,125.3167,44.01,39,48,7.92,CN,scattered clouds
198,Isla Mujeres,21.2311,-86.731,84.16,71,0,10.09,MX,clear sky
199,Esperance,-33.8667,121.9,51.64,67,82,7.11,AU,broken clouds
200,Berlevag,70.8578,29.0864,41.0,95,100,18.37,NO,overcast clouds
201,Qaqortoq,60.7167,-46.0333,27.25,90,79,3.8,GL,broken clouds
202,Saldanha,-33.0117,17.9442,57.25,85,19,10.56,ZA,few clouds
203,Saint George,37.1041,-113.5841,84.25,11,0,4.61,US,clear sky
204,Maningrida,-12.0667,134.2667,77.09,81,100,9.26,AU,overcast clouds
205,Dasoguz,41.8363,59.9666,53.55,82,0,6.91,TM,clear sky
206,Alekseyevsk,57.8406,108.3492,43.38,89,97,7.96,RU,overcast clouds
207,Norman Wells,65.282,-126.8329,23.04,33,20,8.05,CA,few clouds
208,Wuda,39.4994,106.7117,41.29,53,7,5.82,CN,clear sky
209,Korla,41.7597,86.1469,54.43,16,1,8.16,CN,clear sky
210,Manavalakurichi,8.1333,77.3,80.6,82,75,10.65,IN,broken clouds
211,Kyra,49.5776,111.9753,40.89,62,61,3.65,RU,broken clouds
212,Taltal,-25.4,-70.4833,62.78,78,17,4.59,CL,few clouds
213,Ponta Do Sol,32.6667,-17.1,68.63,51,98,12.03,PT,overcast clouds
214,Chulumani,-16.4096,-67.5263,62.06,95,87,2.39,BO,overcast clouds
215,Luderitz,-26.6481,15.1594,67.44,50,0,12.1,NA,clear sky
216,Horizontina,-27.6258,-54.3078,61.39,73,6,2.33,BR,clear sky
217,Kameshkovo,56.3481,41.0047,30.78,88,41,4.85,RU,scattered clouds
218,Novyy Urgal,51.0736,132.5642,26.2,87,57,1.5,RU,broken clouds
219,Alofi,-19.0595,-169.9187,85.89,74,85,10.36,NU,overcast clouds
220,Tuatapere,-46.1333,167.6833,56.41,66,10,3.91,NZ,clear sky
221,Eureka,40.8021,-124.1637,61.66,57,100,8.99,US,overcast clouds
222,Lavrentiya,65.5833,-171.0,30.58,98,100,14.23,RU,light snow
223,Urambo,-5.0667,32.05,64.69,92,44,2.17,TZ,scattered clouds
224,Fairbanks,64.8378,-147.7164,39.24,25,0,11.5,US,clear sky
225,Saint Cloud,45.5608,-94.1625,39.34,84,100,10.36,US,snow
226,Bezhetsk,57.7851,36.6965,30.09,76,8,3.22,RU,clear sky
227,Havoysund,70.9963,24.6622,43.03,97,100,15.59,NO,overcast clouds
228,Itoman,26.1247,127.6694,69.82,74,75,2.3,JP,broken clouds
229,Nikolskoye,59.7035,30.7861,39.87,76,100,3.78,RU,overcast clouds
230,Ilulissat,69.2167,-51.1,15.82,67,75,5.75,GL,light shower snow
231,Dudinka,69.4058,86.1778,4.62,96,100,9.57,RU,light snow
232,Saint-Joseph,-21.3667,55.6167,73.78,86,32,10.56,RE,light rain
233,Ternate,0.8,127.4,81.28,80,46,5.5,ID,scattered clouds
234,Presidencia Roque Saenz Pena,-26.7852,-60.4388,61.97,75,1,5.55,AR,clear sky
235,Road Town,18.4167,-64.6167,80.69,74,40,16.11,VG,scattered clouds
236,Hammerfest,70.6634,23.6821,43.25,81,75,10.36,NO,broken clouds
237,Najran,17.4924,44.1277,75.85,28,71,3.91,SA,broken clouds
238,Port Moresby,-9.4431,147.1797,80.02,89,20,5.75,PG,few clouds
239,Goundi,9.3627,17.366,88.57,39,90,7.58,TD,overcast clouds
240,Champasak,14.75,106.0,73.49,93,100,1.48,LA,overcast clouds
241,Boyolangu,-8.1181,111.8935,76.01,92,95,4.56,ID,overcast clouds
242,Matara,5.9485,80.5353,78.91,85,98,5.32,LK,overcast clouds
243,Saint-Pierre,-21.3393,55.4781,74.88,87,75,3.44,RE,broken clouds
244,Tiksi,71.6872,128.8694,-1.44,99,82,3.4,RU,broken clouds
245,La Carlota,10.4233,122.9208,79.65,78,69,4.7,PH,broken clouds
246,Nizhnevartovsk,60.9344,76.5531,24.82,74,100,2.24,RU,overcast clouds
247,Urumqi,43.801,87.6005,59.95,10,0,4.47,CN,clear sky
248,Verkhoyansk,67.5447,133.385,10.62,86,55,2.1,RU,broken clouds
249,Xining,36.6167,101.7667,33.6,53,80,1.14,CN,broken clouds
250,Zlobin,45.2924,14.6541,43.9,40,20,13.8,HR,few clouds
251,Gizo,-8.103,156.8419,83.19,72,91,8.46,SB,light rain
252,Flinders,-34.5833,150.8552,74.05,72,74,5.32,AU,broken clouds
253,Ojinaga,29.5667,-104.4167,95.58,11,0,11.5,MX,clear sky
254,Chuy,-33.6971,-53.4616,62.11,78,100,7.16,UY,overcast clouds
255,Hami,42.8,93.45,51.62,21,0,5.86,CN,clear sky
256,Pokhara,28.2333,83.9833,71.6,24,1,8.08,NP,clear sky
257,Oxbow,49.2333,-102.1676,23.65,86,100,8.12,CA,light snow
258,Clyde River,70.4692,-68.5914,-10.97,70,0,8.05,CA,clear sky
259,Neiafu,-18.65,-173.9833,83.08,83,40,6.91,TO,scattered clouds
260,Taksimo,56.3444,114.8794,30.45,93,97,1.48,RU,overcast clouds
261,Matay,28.419,30.7792,85.6,10,85,7.76,EG,overcast clouds
262,Batemans Bay,-35.7167,150.1833,65.1,57,83,3.65,AU,broken clouds
263,Faanui,-16.4833,-151.75,81.03,72,34,9.28,PF,light rain
264,Coruripe,-10.1256,-36.1756,80.53,77,12,12.46,BR,light rain
265,Antofagasta,-23.65,-70.4,61.88,85,30,5.21,CL,scattered clouds
266,Saint-Augustin,51.226,-58.6502,37.2,98,100,18.68,CA,overcast clouds
267,Kofele,7.0667,38.7833,53.8,91,100,1.03,ET,light rain
268,Moranbah,-22.0016,148.0466,72.88,60,0,14.27,AU,clear sky
269,Singkawang,0.9,109.0,76.32,93,78,4.07,ID,light rain
270,De-Kastri,51.4667,140.7833,29.93,81,100,4.94,RU,overcast clouds
271,Lahad Datu,5.0268,118.327,76.05,92,68,3.58,MY,broken clouds
272,Gazanjyk,39.2446,55.5154,53.91,83,75,6.98,TM,broken clouds
273,Kefamenanu,-9.4467,124.4781,74.08,90,91,1.72,ID,overcast clouds
274,Riviere-Au-Renard,48.9957,-64.3971,35.89,88,99,20.89,CA,overcast clouds
275,Alamogordo,32.8995,-105.9603,86.4,6,0,13.8,US,clear sky
276,Muzaffarpur,26.1167,85.4,75.31,61,0,10.92,IN,clear sky
277,Honavar,14.2833,74.45,79.36,89,19,3.24,IN,few clouds
278,Tieling,42.2931,123.8414,50.31,28,25,9.44,CN,scattered clouds
