City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Ugoofaaru,MV,83.73,overcast clouds,5.6667,73.0,Ungoofaaru Inn
332,Inirida,CO,75.2,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
337,Celestun,MX,82.22,clear sky,20.8667,-90.4,Posada Lilia
338,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
344,Bauchi,NG,77.56,light rain,10.5,10.0,
347,Hobyo,SO,82.98,light rain,5.3505,48.5268,Iftin hotel hobyo
349,Stephenville,US,84.33,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
352,Palasa,IN,79.14,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
357,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
358,Port Blair,IN,80.62,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
363,Hambantota,LK,79.38,overcast clouds,6.1241,81.1185,Bungalow 63
365,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
366,Isangel,VU,82.06,moderate rain,-19.55,169.2667,Tanna Lodge
370,Salinopolis,BR,78.15,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
371,Umm Lajj,SA,83.84,overcast clouds,25.0213,37.2685,Moon light Furnished Units
372,Avera,US,77.05,overcast clouds,33.194,-82.5271,
377,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
378,Sadasivpet,IN,79.7,broken clouds,17.6212,77.9503,Anantha sai medical & General store
379,Sur,OM,85.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
384,Ouidah,BJ,84.06,light rain,6.3631,2.0851,Djegba Hotel
389,Riberalta,BO,82.6,broken clouds,-10.9833,-66.1,Hotel Colonial
390,Araguacu,BR,75.47,broken clouds,-12.9306,-49.8264,Hotel Tocantins
391,Am Timan,TD,89.89,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
401,San Diego,US,77.72,clear sky,32.7153,-117.1573,Hilton San Diego Bayfront
403,Meulaboh,ID,77.25,overcast clouds,4.1363,96.1285,Kost Pria
405,Srandakan,ID,77.02,overcast clouds,-7.9386,110.2506,Puri Brata
408,Kloulklubed,PW,82.17,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
412,Dickinson,US,87.1,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
416,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
420,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
425,Tual,ID,84.54,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
429,New Iberia,US,82.06,scattered clouds,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
433,Dingle,PH,77.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
434,Black River,JM,79.66,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
437,Ixtapa,MX,88.93,broken clouds,20.7,-105.2,hotel la terminal
439,Sampit,ID,75.18,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
441,Kavaratti,IN,82.74,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
452,Yaan,NG,80.35,light rain,7.3833,8.5667,
453,Pangkalanbuun,ID,75.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
460,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
462,Vanimo,PG,80.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
466,Eyl,SO,82.04,scattered clouds,7.9803,49.8164,Amiin Hotel
469,Pangai,TO,84.31,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
470,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
471,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
472,Barahona,DO,76.82,broken clouds,18.2085,-71.1008,Hotel Caribe
476,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
482,Manokwari,ID,81.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
483,Lafiagi,NG,78.4,moderate rain,8.8667,5.4167,Bus group international
501,Tautira,PF,81.3,few clouds,-17.7333,-149.15,Pension Oaoa
505,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
506,Karratha,AU,81.79,few clouds,-20.7377,116.8463,ibis Styles Karratha
508,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
513,Carutapera,BR,76.66,moderate rain,-1.195,-46.02,Lidera
514,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
515,Tabou,CI,76.95,overcast clouds,4.423,-7.3528,hotêl doufoulougou
526,Brownsville,US,89.1,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
527,Sola,VU,82.06,broken clouds,-13.8833,167.55,Leumerus Bungalows
529,Itarema,BR,77.92,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
533,Katobu,ID,77.04,overcast clouds,-4.9408,122.5276,La Ode Husein
535,Vertientes,CU,80.04,scattered clouds,21.2594,-78.1464,
542,Karwar,IN,78.55,few clouds,14.8,74.1333,Netalco Connects
550,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
552,Boca Del Monte,MX,88.61,clear sky,19.15,-96.8167,Rancho Sosa
